,id,Country,Year,Population,indexreg,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stuntihme,sdg2_wasteihme,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_fplmodel,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_cpi,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_sprofits,sdg17_statperf
3849,ZAF,South Africa,2008,49779472.0,Sub-Saharan Africa,,,,3.6,,,24.0,2.267,4.063,0.618,191.0,13.0,68.9,1270.0,10.67,32.32,29.5,,,94.3,73.0,,5.3,,,,,,,,,,,,82.1,,74.437,33.0,,88.678,67.086,,,81.9,73.3,2.345,6.912,,22.41,,0.337,,,8.43,,,0.189,0.888,,,,,63.0,,,,,98.399,70.0,,,,,,9.937,,,39.743,,34.102,21.583,5.986,28.86,27.215,0.801,,36.33,,,,,,,,8.598,,26.871,,
3872,SSD,South Sudan,2008,8736932.0,Sub-Saharan Africa,,,,,,,,2.392,,,1250.0,45.7,119.9,,1.45,16.91,23.01,,158.1,,,,,,,,,,,36.702,,,,,14.2,,93.312,,,,,,,,0.0,,,,12.15,,0.005,,,,,,0.0,,,,,,,,,,,,,,,,,,0.142,,,,,,,,33.598,58.59,0.932,,,,,,,,,,,,,,
3895,ESP,Spain,2008,46068811.0,OECD,,,14.6,2.5,,,21.0,2.41,3.574,0.825,4.0,2.2,4.2,19.0,0.08,11.43,6.94,,13.3,,97.0,,7.3,4.81,21.5,,,99.991,,99.564,40.047,,,,83.1,,73.3,36.286,,100.0,99.903,99.614,94.144,100.0,100.0,1.044,7.621,,,,2.161,64.475,16.669,59.6,,,1.248,1.325,6.18,5.783,65.069,30.974,34.2,1.24,19.0,0.0,,99.737,71.0,,,,,0.908,7.31,,,59.752,,42.839,41.319,13.395,52.659,48.722,0.848,,0.88,24.265,,,,,,159.67,10.671,0.45,,,
3918,LKA,Sri Lanka,2008,19983984.0,East & South Asia,,,,11.9,,,3.3,2.172,3.617,0.903,42.0,6.8,12.2,66.0,0.02,16.91,14.22,,20.3,,98.0,,4.4,,,,,95.409,,97.982,,,,,,,46.257,5.778,,85.319,84.061,,,82.887,20.5,1.175,55.733,,5.22,,0.268,,,,,,0.038,0.114,,,,,,,,,,73.215,60.0,,,,,,0.6,,,46.349,,15.42,,7.471,38.563,35.549,0.612,,10.02,,,,,,,,4.774,,14.856,,
3941,KNA,St. Kitts and Nevis,2008,48178.0,LAC,,,,,,,18.2,2.453,,1.183,,12.1,17.9,12.0,,,,,,100.0,99.0,,,,,,,96.749,118.365,,,,,,,,,6.667,,98.55,91.683,,,97.279,100.0,1.293,,,,,,,,49.2,,,0.208,,,,,,,,,,,,,,,,,,4.487,,,0.0,,,,,22.349,,0.748,,47.74,,,,,,,,6.056,,,,
3964,LCA,St. Lucia,2008,170011.0,LAC,,,,,,,15.8,2.433,,1.156,93.0,12.5,19.0,14.0,,17.74,3.53,,45.3,100.0,96.0,,,,,,83.165,,85.282,,,,,,71.4,,80.733,11.111,,92.551,84.066,,,93.26,94.7,0.909,,,12.72,,,,,30.0,,,0.024,,,,,,,,,,,97.005,,,,,,,2.5,,,26.247,,,,,45.562,,0.833,,22.94,,,,,,,,6.076,,20.126,,
3987,VCT,St. Vincent and the Grenadines,2008,108401.0,LAC,,,,6.4,,,18.8,2.319,12.727,0.894,70.0,12.8,20.8,13.0,,18.53,5.52,,66.4,99.2,99.0,,,,,,,98.181,111.339,,,,,,77.2,,70.584,18.182,,94.291,80.175,,,90.147,95.7,1.447,,,18.79,,,,,21.0,0.0,,0.009,,,,,,,,,,,,,,,,,,2.028,,,26.328,,,,15.38,45.636,,0.769,,14.76,55.782,,,,,,,8.103,,26.072,,
4010,_Africa,Sub-Saharan Africa,2008,,,,,,21.532,,,6.618,2.142,1.471,0.828,646.0650024,32.978,106.654,341.634,2.151,24.403,27.487,,,,67.13700104,,4.534,,,,,76.798,37.244,,,,,,38.251,,84.253,17.081,,52.339,26.236,,,33.777,11.469,2.478,75.262,,5.977,,0.101,,,3.858,,,0.026,,,,,,,,,,,61.775,41.955,,,,,,0.903,,,27.025,,23.1,,4.016,47.774,43.553,0.861,,,,,,,,,,5.178,,,,
4033,SDN,Sudan,2008,33060844.0,Sub-Saharan Africa,,,,16.3,,,,2.392,,,454.0,32.5,80.2,116.0,0.13,23.98,24.68,,,,79.0,,,,,,,,,65.805,,,,,23.8,,40.1,18.059,,49.065,25.618,,,34.646,27.0,2.575,66.878,,14.8,,0.001,,,,,,0.009,,,,,,,,,,,56.615,,,,,,,0.412,,,0.0,,37.19,,0.825,9.091,0.0,0.951,,,,,,,,,,3.933,,,,
4056,SUR,Suriname,2008,517122.0,LAC,,,,8.3,,,22.5,2.257,4.189,0.742,169.0,15.7,24.4,26.0,0.61,21.03,24.37,,,90.0,85.0,,,,,,85.695,88.574,34.734,99.416,,,,,68.3,,61.158,25.49,,92.661,81.857,,,94.665,85.8,1.221,,,8.875,,0.467,,,21.06,,,0.033,,,,,,,,,,,86.544,,,,,,,3.742,,,74.245,,31.76,,9.38,51.19,49.404,0.99,,8.32,,,,,,,,,,,,
4079,SWE,Sweden,2008,9236433.0,OECD,,,,2.5,,,17.4,2.522,4.821,0.502,5.0,1.7,3.2,6.4,1.0,11.05,4.77,,5.9,,96.0,,7.5,1.1,21.6,14.6,99.874,98.691,,,40.832,,,,84.9,,88.069,46.991,10.588,99.614,99.11,99.568,93.617,100.0,100.0,0.339,30.957,,,,1.536,74.325,8.747,90.0,65.25,,2.691,3.47,11.023,90.389,31.419,33.725,28.1,,,0.0,,89.066,59.0,,,,,0.722,5.509,,,56.037,,13.66,20.321,1.476,57.275,58.515,0.993,,0.89,19.468,,,,,,76.577,13.116,0.98,,,
4102,CHE,Switzerland,2008,7622826.0,OECD,,,9.7,2.5,,,16.5,2.47,6.413,0.663,6.0,3.2,4.7,7.0,0.07,10.12,4.83,,4.3,,92.0,,,1.9,17.8,,97.856,,96.18,,38.483,,,,88.3,,81.222,28.5,21.308,100.0,99.881,94.248,99.617,100.0,100.0,0.595,17.296,,,,3.421,79.5,9.556,79.2,,,3.746,2.715,5.652,130.39,45.9,20.337,33.8,1.14,25.4,0.0,,100.0,,,,,,1.017,5.866,,,,,,,,28.884,58.207,0.973,,,44.315,,,,,,69.567,7.728,0.42,,,
4125,SYR,Syrian Arab Republic,2008,20664037.0,MENA,,,,,,,22.5,,0.897,0.742,26.0,10.2,18.9,23.0,0.0,22.08,22.88,,,,79.0,,5.3,,,,62.537,99.262,66.751,,,,,,,,20.17,12.4,,92.736,90.884,,,91.287,98.8,1.701,1.105,,10.94,,0.082,,,14.0,,,0.016,,,,,,,,,,,88.52,60.0,,,,,,3.236,,,0.0,,,32.043,6.296,0.0,0.0,0.942,,2.56,,,,,,,,6.163,,,,
4148,TJK,Tajikistan,2008,7209924.0,E. Europe & C. Asia,,,,,,,10.5,2.162,2.141,0.693,26.0,21.5,46.3,155.0,0.14,30.62,18.56,,,85.0,86.0,,5.1,,,,8.632,98.408,87.521,,,,,,,,52.142,17.46,,66.829,92.712,,,98.642,65.1,0.165,55.368,,11.979,,0.065,,,8.78,,,0.009,0.07,,,,,,,,,,89.567,68.0,,,,,,0.402,,,,,,,,15.769,27.874,0.988,,1.39,,,,,,,,4.83,,,,
4171,TZA,Tanzania,2008,41853944.0,Sub-Saharan Africa,,,,30.7,,,5.7,2.108,1.334,0.828,666.0,26.0,79.6,474.0,2.92,20.15,28.36,,116.2,,86.0,,4.4,,,,29.545,99.098,14.232,,,,,,,,95.882,30.408,,40.416,15.917,,,11.5,1.1,1.231,89.188,,2.769,,0.073,,,1.9,0.555,,0.015,,,,,,,,,,,65.682,43.0,,,,,,0.141,,,52.084,,26.92,,2.074,56.643,31.403,0.741,,,,,,,,,,6.444,,,,
4194,THA,Thailand,2008,66530980.0,East & South Asia,,,,10.6,,,6.1,2.188,3.064,0.843,43.0,8.4,14.9,196.0,0.26,15.31,38.86,,50.1,,98.0,,5.6,,,,98.941,97.954,,,,,,,,,80.684,11.667,,97.014,94.753,,,94.851,72.1,1.583,19.329,,1.18,,0.403,,,18.2,,,0.115,0.203,,,,,40.3,,,,,78.827,72.0,,,,,,3.41,,,47.535,,43.5,14.647,0.918,69.463,40.666,0.811,,5.97,,,,,,,,6.116,,18.819,,
4217,TLS,Timor-Leste,2008,1055428.0,East & South Asia,,,,32.4,,,2.3,2.146,1.443,0.937,269.0,26.2,67.7,498.0,0.06,16.91,15.06,,51.4,,73.0,,,,,,,83.944,49.938,,,,,,36.2,,85.965,29.231,,59.971,43.671,,,44.302,3.6,,,,3.316,,,,,1.5,,,0.005,,,,,,,,,,,58.719,,,,,,,0.191,,,18.667,,9.1,,,40.67,,0.892,,3.32,,,,,,,,12.069,,,,
4240,TGO,Togo,2008,6083417.0,Sub-Saharan Africa,,,,25.6,,,6.0,2.059,1.144,0.858,473.0,30.8,94.4,78.0,1.51,27.74,31.31,,,,63.0,,2.8,,,,36.16,91.316,36.262,,,,,,,,89.656,11.111,,55.191,12.525,,,31.881,2.4,8.735,83.464,,3.335,,0.038,,,2.4,0.0,,0.012,,,,,,,,,,,60.438,13.0,,,,,,0.25,,,,,,10.675,0.571,79.454,,0.858,,,,,,,,,,3.898,,14.879,,
4263,TON,Tonga,2008,103384.0,Oceania,,,,,,,42.7,,,1.062,60.0,5.7,13.7,14.0,,25.92,17.41,,,97.0,99.0,,,,,,,,,,,,,,,,64.21,3.125,,98.293,91.503,,,91.256,55.4,2.42,,,1.352,,,,,8.111,,,0.039,,,,,,,,,,,95.585,,,,,,,1.17,,,19.168,,1.49,,1.212,26.074,,0.747,,3.87,,,,,,,,6.81,,,,
4286,TTO,Trinidad and Tobago,2008,1314449.0,LAC,,,,9.6,,,14.3,2.35,1.724,1.287,72.0,15.3,23.8,24.0,0.5,23.55,24.8,,37.9,99.5,90.0,,6.7,,,,,98.022,90.185,,,,,,,,70.508,26.829,,95.066,92.067,,,100.0,100.0,6.079,0.141,,4.63,,0.825,,,34.8,0.0,,0.215,0.031,,,,,,,,,,,63.0,,,,,,33.547,,,8.491,,26.29,7.133,19.897,32.003,0.0,0.822,,41.61,41.289,,,,,,,4.884,,,,
4309,TUN,Tunisia,2008,10414425.0,MENA,,,,3.8,,,22.3,2.217,1.467,0.968,47.0,12.8,19.4,27.0,0.02,17.1,23.99,,,,98.0,,,,,,,97.902,71.817,96.819,,,,,,,36.378,22.751,,91.546,84.695,,,99.4,98.9,1.607,13.307,,12.44,,0.361,,,27.53,,,0.347,0.639,,,,,,,,,,95.884,,,,,,,2.336,,,22.484,,19.67,16.317,8.946,22.823,22.052,0.971,,2.69,,,,,,,,9.212,,29.177,,
4332,TUR,Turkey,2008,70418612.0,OECD,,,,2.5,,,26.9,2.21,2.601,0.648,27.0,10.4,20.9,29.0,1.0,17.42,6.2,,35.9,91.3,96.0,,5.1,,13.7,27.4,49.792,97.749,96.585,,15.463,,,,,,34.701,9.107,,95.047,91.93,,66.134,,93.8,1.386,9.461,,,,0.256,44.85,41.99,34.37,,,0.356,0.693,2.566,0.389,,30.983,39.0,,,,,97.946,58.0,,,,,1.095,4.393,,,3.846,,27.922,32.259,5.612,2.271,4.027,0.885,,4.63,55.967,,,,,,146.886,6.521,,30.84,,
4355,TKM,Turkmenistan,2008,4935765.0,E. Europe & C. Asia,,,,4.0,,,14.3,2.32,1.1,0.579,13.0,23.7,45.5,95.0,1.0,37.95,16.65,,,,96.0,,,,,,,,,,,,,,,,67.988,,,92.699,94.699,,,99.612,99.8,4.258,0.045,,4.951,,0.414,,,1.75,,,0.001,,,,,,,,,,,83.624,,,,,,,11.481,,,,,,,,14.041,12.748,0.979,,,,,,,,,,,,,,
4378,TUV,Tuvalu,2008,10315.0,Oceania,,,,,,,45.5,,,1.341,,18.8,34.0,190.0,,,,,,,93.0,,,,,,,,,,,,,,,,,0.0,,98.555,82.0,,,96.504,42.3,,,,,,,,,11.2,,,0.097,,,,,,,,,,,97.378,,,,,,,1.066,,,,,3.04,,,,,0.873,,0.0,,,,,,,,13.642,,,,
4401,UGA,Uganda,2008,30431734.0,Sub-Saharan Africa,,,,,,,3.5,2.127,1.828,0.844,455.0,26.1,86.8,217.0,3.75,25.15,31.75,,151.4,,70.0,,4.6,,,,,,23.943,,,,,,,,86.409,30.723,,37.284,18.043,,,15.969,0.8,1.124,,,3.149,,0.071,,,3.88,,,0.018,0.326,,,,,,,,,,57.682,46.0,,,,,,0.091,,,,,,,,72.244,48.48,0.787,,9.18,55.892,,,,,,,5.845,,,,
4424,UKR,Ukraine,2008,46158709.0,E. Europe & C. Asia,,,,2.5,,,21.4,2.325,3.487,0.506,33.0,7.6,12.9,119.0,0.28,33.49,24.81,,32.0,99.9,90.0,,5.2,,,,,87.978,101.821,,,,,,,,86.165,8.222,,95.977,95.87,,,100.0,94.0,1.76,1.993,,6.36,,0.219,,,11.0,,,0.157,0.847,,,,,26.6,,,,,89.02,58.0,,,,,,7.052,,,30.743,,37.27,32.047,14.015,21.319,15.571,0.934,,5.34,13.716,,,,,,,9.628,,34.276,,
4447,ARE,United Arab Emirates,2008,7089486.0,MENA,,,,8.2,,,26.3,2.412,22.266,1.226,4.0,4.9,9.2,1.5,0.03,21.55,17.96,,32.3,100.0,92.0,,,,,,,,,,,,,,,,44.525,22.5,,100.0,97.642,,,100.0,100.0,1.895,0.068,,2.737,,6.113,,,63.0,,,0.223,,,,,,,,,,,,,,,,,,21.718,,,36.347,,28.87,,0.455,28.558,,0.884,,,,,,,,,,,,,,
4470,GBR,United Kingdom,2008,62145098.0,OECD,,,12.3,2.5,,,23.1,2.396,7.42,0.534,11.0,3.2,5.6,15.0,1.0,13.21,5.19,,25.6,,86.0,,7.0,3.6,21.8,21.0,97.651,98.972,,,43.338,,,,,,79.992,19.505,21.858,100.0,99.121,99.979,97.876,100.0,100.0,1.442,2.802,,,,2.393,72.6,14.753,78.39,,,2.098,1.613,8.503,27.272,36.508,31.302,34.1,1.58,16.8,0.0,,100.0,60.0,,,,,0.933,8.762,,,82.743,,50.884,25.689,7.663,84.124,90.018,0.963,,,12.014,,,,,,147.272,12.292,0.43,,,
4493,USA,United States,2008,303486022.0,OECD,,,,2.5,,,31.0,2.435,6.598,0.323,14.0,4.3,7.6,4.9,1.0,15.23,13.42,,40.2,99.3,92.0,,7.3,,22.4,16.5,,,,,41.565,,,,,,81.73,17.011,20.05,98.875,99.881,95.266,98.021,100.0,100.0,1.357,5.074,,,,1.819,70.888,12.779,74.0,8.742,,1.557,2.768,8.089,45.6,,,40.8,,,0.0,,99.6,44.0,,,,,1.381,19.487,,,30.804,,38.281,23.123,12.106,33.322,27.731,0.841,,5.35,22.421,,,,,,761.254,,0.18,,,
4516,_UMIC,Upper-middle-income Countries,2008,,,,,,4.915,,,10.773,2.244,4.531,0.707,49.72299957,10.16,19.743,101.26,0.977,20.274,20.897,,26.838,97.283,95.14800262,,5.26,,,,82.242,97.604,91.835,,,,,,69.247,,75.035,19.379,,90.22,77.259,,,98.014,66.599,1.885,13.276,,5.661,,0.171,,,24.191,,,0.187,1.107,,,,,,,,,,91.009,62.974,,,,,,5.355,,,19.902,,22.457,,6.635,18.716,17.692,0.806,,7.634,34.529,,,,,,,5.283,,17.558,,
4539,URY,Uruguay,2008,3340221.0,LAC,,,,2.5,,,24.1,2.429,4.325,0.495,19.0,5.4,11.8,24.0,0.16,18.26,15.9,,60.2,99.6,94.0,,5.7,,,,99.742,99.74,69.618,98.968,,,,,,,73.045,12.121,,98.042,94.54,,,98.784,100.0,0.934,33.842,,8.03,,0.559,,,39.3,,,0.229,0.38,,,,,45.1,,,,,99.235,68.0,,,,,,2.455,,,16.845,,17.78,59.626,7.037,7.186,3.889,0.86,,6.62,,,,,,,,7.456,,,,
4562,UZB,Uzbekistan,2008,27626981.0,E. Europe & C. Asia,,,,11.2,,,12.6,2.253,4.305,0.365,34.0,18.4,34.0,105.0,0.16,30.77,10.6,,,100.0,98.0,,5.3,,,,35.711,93.874,92.865,,,,,,,,67.899,17.5,,95.403,97.407,,,99.742,85.7,3.085,0.857,,4.89,,0.067,,,9.08,,,0.016,0.194,,,,,,,,,,91.62,81.0,,,,,,4.454,,,,,,,,15.395,13.442,0.976,,3.01,,,,,,,,,,,,
4585,VUT,Vanuatu,2008,224700.0,Oceania,,,,5.0,,,20.1,2.186,0.547,0.922,99.0,12.3,28.8,74.0,,40.05,13.35,,,,61.0,,,,,,,,,,,,,,55.4,,77.036,3.846,,85.034,55.052,,,36.512,13.5,1.833,,,1.751,,0.376,,,7.269,,,0.058,,,,,,,,,,,79.829,,,,,,,0.424,,,3.301,,2.13,,10.482,2.946,,0.706,,,,,,,,,,8.226,,,,
4608,VEN,"Venezuela, RB",2008,27635827.0,LAC,,,,2.8,,,22.5,2.36,3.428,0.989,116.0,10.1,17.2,29.0,0.25,16.33,37.69,,89.9,,50.0,,6.3,,,,87.701,94.167,78.934,,,,,,,,62.723,18.563,,95.811,93.579,,,98.943,96.7,1.322,12.725,,6.25,,0.155,,,25.88,,,0.081,0.238,,,,,,,,,,,60.0,,,,,,6.104,,,32.635,,51.02,3.629,3.58,53.609,42.149,0.839,,52.79,,,,,,,,6.18,,,,
4631,VNM,Vietnam,2008,86243424.0,East & South Asia,,,,12.9,,,1.2,2.25,4.898,0.651,49.0,12.0,23.5,246.0,0.19,22.35,24.78,,24.0,,92.0,,5.5,,,,87.855,98.606,,,,,,,78.2,,89.36,25.761,,87.256,67.498,,,94.005,42.5,1.414,34.805,,1.927,,0.14,,,23.92,,,0.017,,,,,,35.6,,,,,64.009,64.0,,,,,,1.314,,,17.98,,0.44,53.564,12.544,31.007,29.227,0.764,,1.27,,,,,,,,6.414,,,,
4654,_WBalkans,Western Balkans,2008,,,1.261,3.622,,3.324,12.947,3.627,17.628,2.31,4.302,0.72,12.51399994,5.923,9.662,35.117,0.33,23.709,13.103,72.619,19.785,99.634,91.58499908,62.60100174,4.768,,,,68.375,95.488,79.514,99.293,,,,,47.326,76.823,68.231,18.06,,92.813,94.885,,,99.911,60.922,1.466,12.818,56.377,17.923,0.555,0.182,,,34.58,12.088,2.291,0.282,0.42,,,,,37.282,,,7.283,29.82,96.672,59.775,,9.542,2.901,1.317,,4.75,0.593,,32.057,47.294,,35.382,10.749,25.091,52.531,0.925,0.001,1.937,27.284,,3.411,39.14899826,27.805,0.545,,8.888,,34.061,,64.049
4677,YEM,"Yemen, Rep.",2008,21892149.0,MENA,,,,26.0,,,12.4,2.174,0.939,0.796,208.0,29.1,62.4,60.0,0.03,28.26,22.2,,,,69.0,,,,,,,77.172,,,,,,,,,17.125,0.332,,48.329,48.939,,,58.378,59.1,3.884,1.34,,12.621,,0.074,,,6.89,,,0.006,,,,,,,,,,,70.219,,,,,,,1.006,,,30.644,,7.59,17.743,0.423,27.947,8.175,0.872,,,32.4,,,,,,,6.754,,,,
4700,ZMB,Zambia,2008,12848531.0,Sub-Saharan Africa,,,,,,,5.7,2.106,2.18,0.846,356.0,26.3,88.7,534.0,5.7,27.83,23.86,,,,87.0,,4.7,,,,,92.167,65.57,,,,,,,,85.937,15.19,,55.357,26.302,,,24.588,15.9,0.199,90.419,,7.93,,0.099,,,2.2,,,0.016,0.278,,,,,,,,,,75.406,61.0,,,,,,0.199,,,,,,,,46.136,56.841,0.876,,5.4,62.873,,,,,,,1.68,,14.999,,
4723,ZWE,Zimbabwe,2008,12379553.0,Sub-Saharan Africa,,,,,,,13.2,2.167,0.31,0.976,657.0,31.2,94.5,487.0,7.63,32.06,37.46,,112.0,,70.0,,3.2,,,,,,,,,,,,77.9,,87.849,15.238,,68.59,42.389,,,36.513,30.7,1.044,75.607,,5.014,,0.036,,,3.5,,,0.023,,,,,,,,,,,84.844,30.0,,,,,,0.624,,,,,,,,76.112,65.843,0.797,,,22.945,,,,,,,,,,,
