,Month,Measure,Inflation Index
377,2015-01,Transport Services,97.47
378,2015-01,Transport,98.43
379,2015-01,All Items,98.86
380,2014-12,Train,97.8
381,2014-12,Transport Services,101.17
382,2014-12,Transport,99.87
383,2014-12,All Items,99.86
384,2014-11,Train,97.8
385,2014-11,Transport Services,96.52
386,2014-11,Transport,100.1
387,2014-11,All Items,99.78
388,2014-10,Train,97.8
389,2014-10,Transport Services,98.53
390,2014-10,Transport,101.42
391,2014-10,All Items,99.95
392,2014-09,Train,97.8
393,2014-09,Transport Services,97.83
394,2014-09,Transport,101.65
395,2014-09,All Items,99.92
396,2014-08,Train,97.8
397,2014-08,Transport Services,106.45
398,2014-08,Transport,103.02
399,2014-08,All Items,100.3
400,2014-07,Train,96.51
401,2014-07,Transport Services,105.27
402,2014-07,Transport,103.27
403,2014-07,All Items,99.86
404,2014-06,Train,97.8
405,2014-06,Transport Services,99.67
406,2014-06,Transport,102.08
407,2014-06,All Items,100.18
408,2014-05,Train,97.8
409,2014-05,Transport Services,97.84
410,2014-05,Transport,101.7
411,2014-05,All Items,100.22
412,2014-04,Train,97.8
413,2014-04,Transport Services,99.85
414,2014-04,Transport,102.19
415,2014-04,All Items,100.2
416,2014-03,Train,95.13
417,2014-03,Transport Services,95.18
418,2014-03,Transport,101.25
419,2014-03,All Items,100.24
420,2014-02,Train,95.13
421,2014-02,Transport Services,96.1
422,2014-02,Transport,101.86
423,2014-02,All Items,99.79
424,2014-01,Train,95.13
425,2014-01,Transport Services,95.63
426,2014-01,Transport,101.52
427,2014-01,All Items,99.24
428,2013-12,Train,95.13
429,2013-12,Transport Services,99.06
430,2013-12,Transport,101.37
431,2013-12,All Items,99.8
432,2013-11,Train,95.13
433,2013-11,Transport Services,94.33
434,2013-11,Transport,100.22
435,2013-11,All Items,99.46
436,2013-10,Train,93.99
437,2013-10,Transport Services,96.82
438,2013-10,Transport,100.88
439,2013-10,All Items,99.5
440,2013-09,Train,95.21
441,2013-09,Transport Services,95.79
442,2013-09,Transport,101.33
443,2013-09,All Items,99.63
444,2013-08,Train,95.21
445,2013-08,Transport Services,103.99
446,2013-08,Transport,102.43
447,2013-08,All Items,99.86
448,2013-07,Train,95.21
449,2013-07,Transport Services,103.68
450,2013-07,Transport,102.29
451,2013-07,All Items,99.4
452,2013-06,Train,95.21
453,2013-06,Transport Services,97.73
454,2013-06,Transport,100.96
455,2013-06,All Items,99.7
