,LOCATION,Year,Rail KM (mil),Bus KM (mil),Rail Infrastructure Investment,Population,Country,Satisfaction
234,FIN,2013,4053.0,7540.0,595001339.84959,5438975.0,Finland,57.0
235,FIN,2014,3874.0,7540.0,628499245.30045,5461507.0,Finland,60.0
236,FIN,2015,4113.0,7540.0,567000000.0,5479528.0,Finland,60.0
237,FIN,2016,3868.0,8255.0,548518896.8335,5495297.0,Finland,63.0
238,FIN,2017,4271.0,8200.0,516352824.57879,5508209.0,Finland,67.0
239,FIN,2018,4534.0,8000.0,472569778.6333,5515525.0,Finland,61.0
240,FIN,2019,4924.0,7900.0,438746438.74644,5521605.0,Finland,56.0
241,FIN,2020,2820.0,6800.0,668621700.87977,5529545.0,Finland,61.0
242,DNK,2000,5537.0,7418.0,807553136.13174,5337344.0,Denmark,
243,DNK,2001,5721.0,7327.0,640635330.73556,5355082.0,Denmark,
244,DNK,2002,5754.0,7292.0,652919182.37989,5374255.0,Denmark,
245,DNK,2003,5893.0,7267.0,450921985.15231,5387174.0,Denmark,
246,DNK,2004,6074.0,7300.0,441811122.64665,5401177.0,Denmark,
247,DNK,2005,6136.0,7169.0,295762303.54459,5415978.0,Denmark,
248,DNK,2006,6274.0,7054.0,208158380.05228,5434567.0,Denmark,64.0
249,DNK,2007,6353.0,6857.0,259763492.56652,5457415.0,Denmark,61.0
250,DNK,2008,6475.0,6782.0,387264413.31305,5489022.0,Denmark,53.0
251,DNK,2009,6367.0,6781.0,383975630.59338,5519441.0,Denmark,54.0
252,DNK,2010,6577.0,6853.0,410182124.28137,5543819.0,Denmark,61.0
253,DNK,2011,6890.0,6853.0,850141047.64305,5566856.0,Denmark,61.0
254,DNK,2012,7020.0,6849.0,877981262.84693,5587085.0,Denmark,60.0
255,DNK,2013,7076.0,6697.0,960678459.49973,5608784.0,Denmark,61.0
256,DNK,2014,6808.0,6831.0724270252,1125810314.7718,5639719.0,Denmark,60.0
257,DNK,2015,6808.0,6681.665260079,1308422492.1567,5678348.0,Denmark,64.0
258,DNK,2016,6653.0,6473.0938534405,1155656284.04,5724456.0,Denmark,66.0
259,ROU,2000,11632.0,7700.0,86978874.518365,22442973.0,Romania,
260,ROU,2001,10966.0,7073.0,106606704.75555,22131974.0,Romania,
261,ROU,2002,8502.0,6987.0,195808675.66385,21675775.0,Romania,
262,ROU,2003,8529.0,9455.0,187915548.39019,21574365.0,Romania,
263,ROU,2004,8638.0,9438.0,96665352.5191,21451845.0,Romania,
264,ROU,2005,7985.0,11812.0,143091616.45419,21319673.0,Romania,
265,ROU,2006,8092.0,11735.0,117599229.09938,21193749.0,Romania,52.0
266,ROU,2007,7476.0,12156.0,314931274.3732,20882980.0,Romania,57.0
267,ROU,2008,6958.0,13881.0,302836133.11932,20537848.0,Romania,
268,ROU,2009,6128.0,12805.0,189707026.50861,20367437.0,Romania,64.0
269,ROU,2010,5438.0,11955.0,173935719.42897,20246798.0,Romania,62.0
270,ROU,2011,5073.0,11773.0,153873841.44695,20147657.0,Romania,61.0
271,ROU,2012,4571.0,12584.0,111131425.23005,20060182.0,Romania,64.0
272,ROU,2013,4411.0,12923.0,201396412.46439,19988694.0,Romania,64.0
273,ROU,2014,4976.0,14061.0,271693474.45336,19916451.0,Romania,64.0
274,ROU,2015,5149.0,17471.0,321920273.5535,19822250.0,Romania,67.0
275,ROU,2016,4988.0,18744.0,262960302.11153,19706424.0,Romania,67.0
276,ROU,2017,5663.0,18177.0,205287657.71321,19592933.0,Romania,69.0
277,ROU,2018,5577.0,19937.0,168372108.47891,19476713.0,Romania,61.0
278,HRV,2000,1252.0,3331.0,28803694.848625,4428075.0,Croatia,
279,HRV,2001,1241.0,3478.0,29493671.693151,4299642.0,Croatia,
280,HRV,2002,1195.0,3557.0,48837723.574204,4302174.0,Croatia,
281,HRV,2003,1163.0,3717.0,137008220.2109,4303399.0,Croatia,
282,HRV,2004,1213.0,3390.0,160859089.44295,4304600.0,Croatia,
283,HRV,2005,1266.0,3403.0,112640894.56633,4310145.0,Croatia,
284,HRV,2006,1362.0,3537.0,139091767.51586,4311159.0,Croatia,57.0
285,HRV,2007,1611.0,3808.0,101595260.79028,4310217.0,Croatia,
286,HRV,2008,1810.0,4093.0,129083731.96821,4309705.0,Croatia,57.0
287,HRV,2009,1835.0,3438.0,99538524.765231,4305181.0,Croatia,56.0
288,HRV,2010,1742.0,3284.0,83171872.389543,4295427.0,Croatia,57.0
289,HRV,2011,1486.0,3145.0,80610354.58226,4280622.0,Croatia,48.0
290,HRV,2012,1104.0,3249.0,61678004.795015,4267558.0,Croatia,48.0
291,HRV,2013,948.0,3507.0,182708692.59351,4255689.0,Croatia,42.0
292,HRV,2014,927.0,3648.0,131181905.91094,4238389.0,Croatia,53.0
293,HRV,2015,951.0,3377.0,60021013.921723,4203604.0,Croatia,57.0
294,HRV,2016,836.0,3802.0,43911790.741522,4174349.0,Croatia,66.0
295,HRV,2017,745.0,4150.0,60688056.230564,4124531.0,Croatia,59.0
296,HRV,2018,756.0,3843.0,94363959.903515,4087843.0,Croatia,48.0
297,HRV,2019,734.0,4022.0,119646617.78865,4065253.0,Croatia,44.0
298,HRV,2020,449.0,2076.0,118892662.09942,4047680.0,Croatia,49.0
299,NLD,2000,15400.0,15453.0,912150877.46345,15925505.0,Netherlands,
300,NLD,2001,15500.0,15483.0,1006227264.3196,16046182.0,Netherlands,
