,Date,Region,level_2,Value
254,2018-06-01,2.0,Overall Inflation,1.049008
255,2018-06-01,2.0,Services Inflation,1.479002
256,2018-07-01,2.0,Overall Inflation,1.02218
257,2018-07-01,2.0,Services Inflation,1.467507
258,2018-08-01,2.0,Overall Inflation,1.057053
259,2018-08-01,2.0,Services Inflation,1.452201
260,2018-09-01,2.0,Overall Inflation,1.094719
261,2018-09-01,2.0,Services Inflation,1.37712
262,2018-10-01,2.0,Overall Inflation,1.104104
263,2018-10-01,2.0,Services Inflation,1.417008
264,2018-11-01,2.0,Overall Inflation,1.104648
265,2018-11-01,2.0,Services Inflation,1.384254
266,2018-12-01,2.0,Overall Inflation,1.135504
267,2018-12-01,2.0,Services Inflation,1.500234
268,2019-09-01,2.0,Overall Inflation,1.209318
269,2019-09-01,2.0,Services Inflation,1.666381
270,2019-10-01,2.0,Overall Inflation,1.221776
271,2019-10-01,2.0,Services Inflation,1.685709
272,2019-11-01,2.0,Overall Inflation,1.251263
273,2019-11-01,2.0,Services Inflation,1.718216
274,2019-12-01,2.0,Overall Inflation,1.265784
275,2019-12-01,2.0,Services Inflation,1.726784
276,2020-01-01,2.0,Overall Inflation,1.212771
277,2020-01-01,2.0,Services Inflation,1.729586
278,2020-02-01,2.0,Overall Inflation,1.387639
279,2020-02-01,2.0,Services Inflation,1.869457
280,2020-03-01,2.0,Overall Inflation,1.439439
281,2020-03-01,2.0,Services Inflation,1.891003
282,2020-04-01,2.0,Overall Inflation,0.5059894
283,2020-04-01,2.0,Services Inflation,2.150367
284,2020-05-01,2.0,Overall Inflation,0.669401
285,2020-05-01,2.0,Services Inflation,2.435179
286,2020-06-01,2.0,Overall Inflation,0.8038385
287,2020-06-01,2.0,Services Inflation,2.519916
288,2020-07-01,2.0,Overall Inflation,1.005964
289,2020-07-01,2.0,Services Inflation,2.012053
290,2020-08-01,2.0,Overall Inflation,1.25146
291,2020-08-01,2.0,Services Inflation,1.899766
292,2020-09-01,2.0,Overall Inflation,1.311522
293,2020-09-01,2.0,Services Inflation,2.013503
294,2020-10-01,2.0,Overall Inflation,1.37002
295,2020-10-01,2.0,Services Inflation,2.134015
296,2020-11-01,2.0,Overall Inflation,1.076037
297,2020-11-01,2.0,Services Inflation,2.193922
298,2020-12-01,2.0,Overall Inflation,1.325207
299,2020-12-01,2.0,Services Inflation,2.153718
300,2021-01-01,2.0,Overall Inflation,1.00076
301,2021-01-01,2.0,Services Inflation,2.259921
302,2021-02-01,2.0,Overall Inflation,1.082314
303,2021-02-01,2.0,Services Inflation,2.513807
304,2021-03-01,2.0,Overall Inflation,1.09958
305,2021-03-01,2.0,Services Inflation,2.456494
306,2021-04-01,2.0,Overall Inflation,1.130981
307,2021-04-01,2.0,Services Inflation,2.461352
308,2021-05-01,2.0,Overall Inflation,1.327033
309,2021-05-01,2.0,Services Inflation,2.476298
310,2021-06-01,2.0,Overall Inflation,1.42196
311,2021-06-01,2.0,Services Inflation,2.576563
312,2021-07-01,2.0,Overall Inflation,1.42212
313,2021-07-01,2.0,Services Inflation,2.426565
314,2021-08-01,2.0,Overall Inflation,1.524744
315,2021-08-01,2.0,Services Inflation,2.408251
316,2021-09-01,2.0,Overall Inflation,1.655635
317,2021-09-01,2.0,Services Inflation,2.314604
318,2021-10-01,2.0,Overall Inflation,1.655414
319,2021-10-01,2.0,Services Inflation,2.336863
320,2021-11-01,2.0,Overall Inflation,1.712571
321,2021-11-01,2.0,Services Inflation,2.411907
322,2021-12-01,2.0,Overall Inflation,1.791455
323,2021-12-01,2.0,Services Inflation,2.524015
324,2022-01-01,2.0,Overall Inflation,1.693074
325,2022-01-01,2.0,Services Inflation,2.441052
326,2022-02-01,2.0,Overall Inflation,1.727996
327,2022-02-01,2.0,Services Inflation,2.391574
328,2022-03-01,2.0,Overall Inflation,1.81333
329,2022-03-01,2.0,Services Inflation,2.402906
330,2022-04-01,2.0,Overall Inflation,1.864053
331,2022-04-01,2.0,Services Inflation,2.489441
332,2022-05-01,2.0,Overall Inflation,1.929708
333,2022-05-01,2.0,Services Inflation,2.513448
334,2007-01-01,3.0,Overall Inflation,-0.6897766
335,2007-01-01,3.0,Services Inflation,-0.4389618
336,2007-02-01,3.0,Overall Inflation,-0.7355205
337,2007-02-01,3.0,Services Inflation,-0.5091455
338,2007-03-01,3.0,Overall Inflation,-0.5897268
339,2007-03-01,3.0,Services Inflation,-0.4153554
340,2007-04-01,3.0,Overall Inflation,-0.5367425
341,2007-04-01,3.0,Services Inflation,-0.3848026
342,2007-05-01,3.0,Overall Inflation,-0.4940269
343,2007-05-01,3.0,Services Inflation,-0.379194
344,2007-06-01,3.0,Overall Inflation,-0.4542585
345,2007-06-01,3.0,Services Inflation,-0.4129945
346,2007-07-01,3.0,Overall Inflation,-0.5087208
347,2007-07-01,3.0,Services Inflation,-0.390994
348,2007-08-01,3.0,Overall Inflation,-0.4603164
349,2007-08-01,3.0,Services Inflation,-0.3707721
350,2007-09-01,3.0,Overall Inflation,-0.4045657
351,2007-09-01,3.0,Services Inflation,-0.3493208
352,2007-10-01,3.0,Overall Inflation,-0.410917
353,2007-10-01,3.0,Services Inflation,-0.3211604
354,2007-11-01,3.0,Overall Inflation,-0.3748167
355,2007-11-01,3.0,Services Inflation,-0.3022381
356,2007-12-01,3.0,Overall Inflation,-0.3421082
357,2007-12-01,3.0,Services Inflation,-0.2654336
358,2008-01-01,3.0,Overall Inflation,-0.394231
359,2008-01-01,3.0,Services Inflation,-0.2327629
360,2008-02-01,3.0,Overall Inflation,-0.3839497
361,2008-02-01,3.0,Services Inflation,-0.1952219
362,2008-03-01,3.0,Overall Inflation,-0.318468
363,2008-03-01,3.0,Services Inflation,-0.0622819
364,2008-04-01,3.0,Overall Inflation,-0.2759793
365,2008-04-01,3.0,Services Inflation,-0.1050525
366,2008-05-01,3.0,Overall Inflation,-0.2059546
367,2008-05-01,3.0,Services Inflation,-0.1103288
368,2008-06-01,3.0,Overall Inflation,-0.154926
369,2008-06-01,3.0,Services Inflation,-0.0711788
370,2008-07-01,3.0,Overall Inflation,-0.1818122
371,2008-07-01,3.0,Services Inflation,-0.0470871
372,2008-08-01,3.0,Overall Inflation,-0.1630749
373,2008-08-01,3.0,Services Inflation,-0.0217299
374,2008-09-01,3.0,Overall Inflation,-0.1622589
375,2008-09-01,3.0,Services Inflation,-0.0191402
376,2008-10-01,3.0,Overall Inflation,-0.1514662
377,2008-10-01,3.0,Services Inflation,0.0644233
378,2008-11-01,3.0,Overall Inflation,-0.0950798
379,2008-11-01,3.0,Services Inflation,0.0470285
380,2008-12-01,3.0,Overall Inflation,-0.1361739
381,2008-12-01,3.0,Services Inflation,0.0746607
382,2009-01-01,3.0,Overall Inflation,-0.1823955
383,2009-01-01,3.0,Services Inflation,0.0230482
384,2009-02-01,3.0,Overall Inflation,-0.1676944
385,2009-02-01,3.0,Services Inflation,0.0008431
386,2009-03-01,3.0,Overall Inflation,-0.1186372
387,2009-03-01,3.0,Services Inflation,0.0483487
388,2009-04-01,3.0,Overall Inflation,-0.1217156
389,2009-04-01,3.0,Services Inflation,0.0614948
390,2009-05-01,3.0,Overall Inflation,-0.0728562
391,2009-05-01,3.0,Services Inflation,0.0728335
392,2009-06-01,3.0,Overall Inflation,-0.0541838
393,2009-06-01,3.0,Services Inflation,0.0728326
394,2009-07-01,3.0,Overall Inflation,-0.096757
395,2009-07-01,3.0,Services Inflation,0.0710096
396,2009-08-01,3.0,Overall Inflation,-0.1025901
397,2009-08-01,3.0,Services Inflation,0.0786128
398,2009-09-01,3.0,Overall Inflation,-0.0948851
399,2009-09-01,3.0,Services Inflation,0.0912233
400,2009-10-01,3.0,Overall Inflation,-0.0742675
401,2009-10-01,3.0,Services Inflation,0.111462
402,2009-11-01,3.0,Overall Inflation,-0.0788427
403,2009-11-01,3.0,Services Inflation,0.1192663
404,2009-12-01,3.0,Overall Inflation,-0.0654013
405,2009-12-01,3.0,Services Inflation,0.1053421
406,2010-01-01,3.0,Overall Inflation,-0.1363884
407,2010-01-01,3.0,Services Inflation,0.1519754
408,2010-02-01,3.0,Overall Inflation,-0.0583795
409,2010-02-01,3.0,Services Inflation,0.1880911
410,2010-03-01,3.0,Overall Inflation,0.0034877
411,2010-03-01,3.0,Services Inflation,0.167046
412,2010-04-01,3.0,Overall Inflation,0.0161141
413,2010-04-01,3.0,Services Inflation,0.1818828
414,2010-05-01,3.0,Overall Inflation,0.0411222
415,2010-05-01,3.0,Services Inflation,0.1580474
416,2010-06-01,3.0,Overall Inflation,0.0470549
417,2010-06-01,3.0,Services Inflation,0.1749537
418,2010-07-01,3.0,Overall Inflation,0.0754045
419,2010-07-01,3.0,Services Inflation,0.1978943
420,2010-08-01,3.0,Overall Inflation,0.0681586
421,2010-08-01,3.0,Services Inflation,0.20287
422,2010-09-01,3.0,Overall Inflation,0.0635223
423,2010-09-01,3.0,Services Inflation,0.2106673
424,2010-10-01,3.0,Overall Inflation,0.1115726
425,2010-10-01,3.0,Services Inflation,0.2547148
426,2010-11-01,3.0,Overall Inflation,0.1990634
427,2010-11-01,3.0,Services Inflation,0.2616963
428,2010-12-01,3.0,Overall Inflation,0.1775057
429,2010-12-01,3.0,Services Inflation,0.2801897
430,2011-01-01,3.0,Overall Inflation,0.1110322
431,2011-01-01,3.0,Services Inflation,0.3901891
432,2011-02-01,3.0,Overall Inflation,0.2353679
433,2011-02-01,3.0,Services Inflation,0.3888509
434,2011-03-01,3.0,Overall Inflation,0.2554687
435,2011-03-01,3.0,Services Inflation,0.4007704
436,2011-04-01,3.0,Overall Inflation,0.2762062
437,2011-04-01,3.0,Services Inflation,0.3803793
438,2011-05-01,3.0,Overall Inflation,0.3118975
439,2011-05-01,3.0,Services Inflation,0.3419393
440,2011-06-01,3.0,Overall Inflation,0.3115365
441,2011-06-01,3.0,Services Inflation,0.3911567
442,2011-07-01,3.0,Overall Inflation,0.3020332
